rr,A,B,X,flip_order,order,repeats,response,subject
119,2.1.1.wav,1.1.3.wav,2.1.3.wav,0,119,1,l,Passi
120,2.1.1.wav,2.2.3.wav,2.1.3.wav,0,120,2,f,Passi
121,4.2.1.wav,4.1.3.wav,4.1.1.wav,0,121,1,l,Passi
122,4.1.2.wav,3.1.4.wav,4.1.4.wav,1,122,2,f,Passi
123,4.1.3.wav,3.1.5.wav,4.1.5.wav,1,123,1,l,Passi
124,2.1.3.wav,2.2.5.wav,2.1.5.wav,1,124,1,f,Passi
125,3.2.3.wav,3.1.5.wav,3.1.3.wav,0,125,1,l,Passi
126,3.2.2.wav,4.2.4.wav,3.2.4.wav,0,126,2,f,Passi
127,1.1.3.wav,2.1.5.wav,1.1.5.wav,0,127,1,f,Passi
128,1.1.3.wav,2.1.5.wav,2.1.3.wav,0,128,2,l,Passi
129,1.1.3.wav,1.2.5.wav,1.2.3.wav,1,129,4,l,Passi
130,4.2.3.wav,4.1.5.wav,4.2.5.wav,1,130,1,f,Passi
131,3.2.1.wav,3.1.3.wav,3.2.3.wav,0,131,2,f,Passi
132,1.2.2.wav,2.2.4.wav,2.2.2.wav,0,132,1,f,Passi
133,2.1.1.wav,2.2.3.wav,2.2.1.wav,0,133,2,f,Passi
134,3.1.3.wav,1.1.5.wav,1.1.3.wav,1,134,2,f,Passi
135,4.2.2.wav,2.2.4.wav,2.2.2.wav,1,135,1,f,Passi
136,3.2.3.wav,1.2.5.wav,1.2.3.wav,1,136,2,f,Passi
137,1.2.3.wav,2.2.5.wav,2.2.3.wav,1,137,1,f,Passi
138,1.2.2.wav,1.1.4.wav,1.1.2.wav,0,138,2,f,Passi
139,3.2.1.wav,4.2.3.wav,4.2.1.wav,1,139,2,l,Passi
140,1.1.2.wav,2.1.4.wav,1.1.4.wav,0,140,1,f,Passi
141,4.2.2.wav,4.1.4.wav,4.1.2.wav,0,141,2,f,Passi
142,2.2.1.wav,4.2.3.wav,2.2.3.wav,0,142,2,f,Passi
143,4.2.1.wav,4.1.3.wav,4.2.3.wav,1,143,1,l,Passi
144,2.1.2.wav,4.1.4.wav,2.1.4.wav,0,144,3,f,Passi
145,4.1.3.wav,2.1.5.wav,4.1.5.wav,1,145,2,l,Passi
146,4.2.1.wav,3.2.3.wav,3.2.1.wav,0,146,2,l,Passi
147,3.1.3.wav,4.1.5.wav,4.1.3.wav,0,147,2,f,Passi
148,3.1.2.wav,1.1.4.wav,3.1.4.wav,1,148,2,f,Passi
149,2.2.1.wav,1.2.3.wav,2.2.3.wav,1,149,1,f,Passi
150,1.1.2.wav,2.1.4.wav,2.1.2.wav,0,150,1,f,Passi
151,4.1.2.wav,3.1.4.wav,3.1.2.wav,1,151,1,l,Passi
152,2.2.2.wav,2.1.4.wav,2.1.2.wav,1,152,1,l,Passi
153,1.1.3.wav,1.2.5.wav,1.1.5.wav,1,153,1,f,Passi
154,3.2.1.wav,4.2.3.wav,3.2.3.wav,0,154,1,f,Passi
155,2.2.3.wav,4.2.5.wav,2.2.5.wav,1,155,1,f,Passi
156,2.1.2.wav,2.2.4.wav,2.2.2.wav,1,156,2,f,Passi
157,1.2.3.wav,3.2.5.wav,1.2.5.wav,0,157,1,f,Passi
158,1.1.2.wav,3.1.4.wav,3.1.2.wav,1,158,1,f,Passi
159,1.1.1.wav,2.1.3.wav,1.1.3.wav,1,159,1,l,Passi
160,3.1.1.wav,1.1.3.wav,3.1.3.wav,0,160,1,f,Passi
161,2.2.3.wav,1.2.5.wav,2.2.5.wav,0,161,1,l,Passi
162,3.1.1.wav,3.2.3.wav,3.2.1.wav,1,162,2,f,Passi
163,3.1.1.wav,1.1.3.wav,1.1.1.wav,0,163,1,f,Passi
164,1.1.2.wav,3.1.4.wav,1.1.4.wav,0,164,1,f,Passi
165,1.2.2.wav,2.2.4.wav,1.2.4.wav,0,165,2,l,Passi
166,1.1.2.wav,1.2.4.wav,1.1.4.wav,1,166,2,f,Passi
167,1.2.1.wav,2.2.3.wav,2.2.1.wav,0,167,2,f,Passi
168,2.1.3.wav,2.2.5.wav,2.2.3.wav,1,168,3,l,Passi
169,1.2.3.wav,1.1.5.wav,1.2.5.wav,0,169,2,l,Passi
170,2.2.2.wav,4.2.4.wav,2.2.4.wav,0,170,1,f,Passi
171,4.2.1.wav,2.2.3.wav,4.2.3.wav,1,171,2,l,Passi
172,4.1.2.wav,2.1.4.wav,4.1.4.wav,0,172,1,f,Passi
173,2.2.3.wav,4.2.5.wav,4.2.3.wav,0,173,1,l,Passi
174,4.1.1.wav,4.2.3.wav,4.2.1.wav,0,174,2,l,Passi
175,3.1.3.wav,1.1.5.wav,3.1.5.wav,1,175,1,f,Passi
176,4.2.2.wav,3.2.4.wav,4.2.4.wav,0,176,1,l,Passi
177,3.2.2.wav,1.2.4.wav,3.2.4.wav,1,177,1,l,Passi
178,4.1.2.wav,2.1.4.wav,2.1.2.wav,0,178,1,f,Passi
179,1.1.1.wav,1.2.3.wav,1.2.1.wav,0,179,2,f,Passi
180,4.1.1.wav,4.2.3.wav,4.1.3.wav,0,180,2,l,Passi
181,2.2.1.wav,4.2.3.wav,4.2.1.wav,1,181,2,f,Passi
182,4.1.3.wav,2.1.5.wav,2.1.3.wav,1,182,1,f,Passi
183,4.1.2.wav,4.2.4.wav,4.2.2.wav,1,183,1,l,Passi
184,4.2.3.wav,2.2.5.wav,2.2.3.wav,1,184,1,f,Passi
185,2.2.2.wav,4.2.4.wav,4.2.2.wav,0,185,1,l,Passi
186,3.2.2.wav,3.1.4.wav,3.2.4.wav,0,186,1,f,Passi
187,3.1.3.wav,3.2.5.wav,3.1.5.wav,0,187,1,l,Passi
188,1.1.1.wav,1.2.3.wav,1.1.3.wav,0,188,2,f,Passi
189,3.2.2.wav,4.2.4.wav,4.2.2.wav,1,189,1,l,Passi
190,4.2.1.wav,2.2.3.wav,2.2.1.wav,1,190,2,f,Passi
191,1.2.3.wav,1.1.5.wav,1.1.3.wav,1,191,1,f,Passi
192,2.2.2.wav,1.2.4.wav,1.2.2.wav,0,192,1,f,Passi
193,1.2.1.wav,2.2.3.wav,1.2.3.wav,0,193,2,l,Passi
194,3.1.2.wav,3.2.4.wav,3.1.4.wav,0,194,1,l,Passi
195,2.1.3.wav,1.1.5.wav,2.1.5.wav,0,195,1,l,Passi
196,4.1.3.wav,4.2.5.wav,4.1.5.wav,0,196,1,l,Passi
197,2.2.2.wav,2.1.4.wav,2.2.4.wav,0,197,1,f,Passi
